file_id,pdf_name,processed_at,total_pages,election_type,ballot_type,district,subdistrict,moo,station_number,eligible_voters,voter_turnout,total_ballots,valid_votes,void_ballots,spoiled_ballots,total_is_valid,candidate_sum_valid,validation_message,candidate_sum_message,failure_modes,failure_mode_count,imputed_fields,count_tier,meta_tier,turnout_rate,void_rate,spoil_rate
2be8d00c980cc4f48a4a7ccaf041dcdc,ลำคอหงษ์ น.10.pdf,2026-05-06T13:12:37.021431,2,normal,district,อำเภอโนนสูง,ตำบลลำคอหงษ์,10.0,10.0,149.0,96.0,6.0,90.0,5.0,1.0,False,True,Ballot math mismatch: 90+5+1=96 ≠ 6,OK,"ballot_math_fail (total=6, valid+void+spoiled=96)",1,,C,M0,0.6442953020134228,0.8333333333333334,0.16666666666666666
84e278ed11cf71bb7c7d0ce2467b8dc4,น.2 ต.ชีวาน ส.ส.5_18.pdf,2026-05-06T10:31:23.905943,2,normal,district,อำเภอพิมาย,ตำบลชีวาน,2.0,5.0,316.0,201.0,211.0,192.0,5.0,4.0,False,True,Ballot math mismatch: 192+5+4=201 ≠ 211,OK,"ballot_math_fail (total=211, valid+void+spoiled=201)",1,,C,M0,0.6360759493670886,0.023696682464454975,0.018957345971563982
8481bd6646a9ab106b0896081f0df205,หน่วยที่ 6 ตำบลใหม่.pdf,2026-05-06T15:30:20.767845,2,normal,district,อำเภอโนนสูง,ตำบลใหม่,6.0,6.0,855.0,674.0,674.0,576.0,25.0,13.0,False,True,Ballot math mismatch: 576+25+13=614 ≠ 674,OK,"ballot_math_fail (total=674, valid+void+spoiled=614)",1,,C,M0,0.7883040935672515,0.037091988130563795,0.019287833827893175
88ba8414b9e7cca61e32be91a39b9414,พลสงคราม น.4 10-2-69 10.07.pdf,2026-05-06T12:36:34.219284,4,normal,partylist,อำเภอโนนสูง,ตำบลพลสงคราม,4.0,4.0,528.0,307.0,807.0,270.0,30.0,7.0,False,True,Ballot math mismatch: 270+30+7=307 ≠ 807,OK,"ballot_math_fail (total=807, valid+void+spoiled=307)",1,,C,M0,0.5814393939393939,0.03717472118959108,0.008674101610904586
85b36c977c302475031db044ec936c5f,น.8 ต.กระเบื้องใหญ่ ส.ส.5_18 (บช).pdf,2026-05-06T10:28:47.819615,3,normal,partylist,อำเภอพิมาย,ตำบลกระเบื้องใหญ่,,,,,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,"ocr_missed_candidates:[1, 2, 3, 4, 5, 6]",1,,C,M2,,,
844f9c799f9ba748c3d49f981d7e6edb,ขามเฒ่า น.13.pdf,2026-05-06T11:38:17.548498,4,normal,partylist,อำเภอโนนสูง,ตำบลขามเฒ่า,13.0,13.0,146.0,104.0,104.0,95.0,26.0,36.0,False,True,Ballot math mismatch: 95+26+36=157 ≠ 104,OK,"ballot_math_fail (total=104, valid+void+spoiled=157)",1,,C,M0,0.7123287671232876,0.25,0.34615384615384615
8476eb4d191d9c5664d1972b47828311,หน่วยที่ 9 ตำบลใหม่.pdf,2026-05-06T15:35:04.885486,2,normal,district,อำเภอโนนสูง,ตำบลใหม่,1.0,1.0,739.0,527.0,527.0,478.0,21.0,49.0,False,True,Ballot math mismatch: 478+21+49=548 ≠ 527,OK,"ballot_math_fail (total=527, valid+void+spoiled=548)",1,,C,M0,0.713125845737483,0.03984819734345351,0.09297912713472485
fd64ee8c38fae3f31b40de7971eef3c6,หลุมข้าว น.5.pdf,2026-05-09T13:46:23.073103,4,normal,partylist,อำเภอโนนสูง,ตำบลหลุมข้าว,4.0,5.0,532.0,346.0,174.0,314.0,21.0,0.0,False,True,Ballot math mismatch: 314+21+0=335 ≠ 174,OK,"ballot_math_fail (total=174, valid+void+spoiled=335)",1,,C,M0,0.650375939849624,0.1206896551724138,0.0
a63be73de042ca20062ad7facbb2be1a,พลสงคราม น.8 10-2-69 10.16.pdf,2026-05-06T12:39:49.258806,2,normal,district,อำเภอโนนสูง,ตำบลพลสงคราม,4.0,4.0,560.0,304.0,268.0,268.0,17.0,,False,True,Ballot math mismatch: 268+17+192=477 ≠ 268,OK,"ballot_math_fail (total=268, valid+void+spoiled=477)",1,,C,M0,0.5428571428571428,0.06343283582089553,0.7164179104477612
a4f1455dd4c86817ae7c1b07fc0bbd44,ขามเฒ่า น.10.pdf,2026-05-09T13:16:52.329290,4,normal,partylist,อำเภอโนนสูง,ตำบลขามเฒ่า,10.0,10.0,273.0,116.0,116.0,179.0,11.0,7.0,False,True,Ballot math mismatch: 179+11+7=197 ≠ 116,OK,"ballot_math_fail (total=116, valid+void+spoiled=197)",1,,C,M0,0.4249084249084249,0.09482758620689655,0.0603448275862069
