file_id,ballot_type,station_number,subdistrict,count_tier,meta_tier,imputed_fields,failure_modes,turnout_rate,void_rate,spoil_rate,dominant_party,RULE_PERFECT_TURNOUT,RULE_ZERO_TOTAL_BALLOTS,RULE_HIGH_VOID_RATE,RULE_HIGH_SPOIL_RATE,RULE_NEGATIVE_RATE,RULE_ALL_ZERO_VOTES,RULE_SINGLE_CANDIDATE_SWEEP,STAT_TURNOUT_Z,STAT_VOID_Z,STAT_SPOIL_Z,STAT_PARTY_DOMINANCE,anomaly_score,is_anomalous
26114f9db6dc9ae14ec1f38c67efec54,district,10.0,ตำบลสัมฤทธิ์,A,M0,,,0.8035190615835777,0.04744525547445255,0.05474452554744526,เพื่อไทย,False,False,False,False,False,False,False,False,False,False,False,0,False
263a9aee741a0507952415fad5043316,district,,,A,M1,,,,0.0421875,0.075,ประชาชน,False,False,False,False,False,False,False,False,False,False,False,0,False
263a9aee741a0507952415fad5043316,partylist,,,C,M1,,"ballot_math_fail (total=607, valid+void+spoiled=640) | candidate_sum_fail (sum=552, valid_votes=607)",,0.0214168039538715,0.032948929159802305,,False,False,False,False,False,False,False,False,False,False,False,0,False
280028d85423d08de01cece8fe2a7252,district,6.0,ท่าช้าง,A,M0,,,0.7959183673469388,0.038461538461538464,0.041666666666666664,เพื่อไทย,False,False,False,False,False,False,False,False,False,False,False,0,False
2834b02020982d69837830d32705f4c8,district,13.0,ตำบลพลสงคราม,C,M0,,"ballot_math_fail (total=146, valid+void+spoiled=148) | candidate_sum_fail (sum=137, valid_votes=139)",0.5509433962264151,0.0410958904109589,0.02054794520547945,,False,False,False,False,False,False,False,False,False,False,False,0,False
2834b02020982d69837830d32705f4c8,partylist,13.0,ตำบลพลสงคราม,B,M0,,"candidate_sum_fail (sum=497, valid_votes=131)",0.5509433962264151,0.0684931506849315,0.03424657534246575,,False,False,False,False,False,False,False,False,False,False,False,0,False
286e424890f71330b00d95800bd1d6ce,district,11.0,ตำบลบิง,A,M0,total_ballots,null_header_field:total_ballots,0.7290748898678414,0.030211480362537766,0.030211480362537766,เพื่อไทย,False,False,False,False,False,False,False,False,False,False,False,0,False
286e424890f71330b00d95800bd1d6ce,partylist,11.0,ตำบลบิง,A,M0,,,0.7290748898678414,0.06042296072507553,0.03323262839879154,ประชาชน,False,False,False,False,False,False,False,False,False,False,False,0,False
28d48750cfcee755760f22a1fde8cece,district,5.0,ตำบลบิง,C,M0,,"null_header_field:eligible_voters | ballot_math_fail (total=391, valid+void+spoiled=371) | candidate_sum_fail (sum=349, valid_votes=345)",,0.023017902813299233,0.043478260869565216,,False,False,False,False,False,False,False,False,False,False,False,0,False
28d48750cfcee755760f22a1fde8cece,partylist,5.0,ตำบลบิง,A,M0,,,0.8162839248434238,0.07008086253369272,0.04851752021563342,ภูมิใจไทย,False,False,False,False,False,False,False,False,False,False,False,0,False
29d29923896aed90aa0b5bc4d447ad89,district,6.0,ตำบลบิง,B,M0,,"candidate_sum_fail (sum=208, valid_votes=206)",0.6363636363636364,0.041474654377880185,0.009216589861751152,,False,False,False,False,False,False,False,False,False,False,False,0,False
29d29923896aed90aa0b5bc4d447ad89,partylist,6.0,ตำบลบิง,C,M0,,null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots,0.6363636363636364,,,,False,False,False,False,False,False,False,False,False,False,False,0,False
2a4638f5c9e156e3c73a2d123f7032e2,district,6.0,ด่านคล้า,A,M0,,,0.7472527472527473,0.04779411764705882,0.04411764705882353,เพื่อไทย,False,False,False,False,False,False,False,False,False,False,False,0,False
2a4638f5c9e156e3c73a2d123f7032e2,partylist,6.0,ตำบลดง,B,M0,,"candidate_sum_fail (sum=225, valid_votes=228)",0.7472527472527473,0.08455882352941177,0.07720588235294118,,False,False,False,False,False,False,False,False,False,False,False,0,False
2be8d00c980cc4f48a4a7ccaf041dcdc,district,10.0,ตำบลลำคอหงษ์,C,M0,,"ballot_math_fail (total=6, valid+void+spoiled=96)",0.6442953020134228,0.8333333333333334,0.16666666666666666,,False,False,True,True,False,False,False,False,True,True,False,4,True
2be8d00c980cc4f48a4a7ccaf041dcdc,partylist,10.0,ตำบลลำคอหงษ์,A,M0,,,0.6442953020134228,0.11458333333333333,0.041666666666666664,เพื่อไทย,False,False,True,False,False,False,False,False,False,False,False,1,True
2cc2da5f04de874658147aa141569c6f,partylist,2.0,ตำบลท่าช้าง,B,M0,,"candidate_sum_fail (sum=158, valid_votes=254)",0.7556818181818182,0.03383458646616541,0.011278195488721804,,False,False,False,False,False,False,False,False,False,False,False,0,False
2cee8c7723126fc0e303dd594987ae11,district,7.0,ตำบลจันอัด,C,M0,,"ocr_missed_candidates:[7, 8, 9] | ballot_math_fail (total=316, valid+void+spoiled=376) | candidate_sum_fail (sum=145, valid_votes=259)",0.6610878661087866,0.07911392405063292,0.2911392405063291,,False,False,False,True,False,False,False,False,False,True,False,2,True
2cee8c7723126fc0e303dd594987ae11,partylist,,ตำบลจันอัด,C,M1,,"null_header_field:station_number | ocr_missed_candidates:[7, 8, 9] | ocr_extra_candidates:[70, 81, 92] | ballot_math_fail (total=316, valid+void+spoiled=318) | candidate_sum_fail (sum=202, valid_votes=269)",0.6610878661087866,0.07911392405063292,0.0759493670886076,,False,False,False,False,False,False,False,False,False,False,False,0,False
2d569ecf13128288424898f22f961c15,district,6.0,ตำบลขามเฒ่า,C,M0,,"ballot_math_fail (total=293, valid+void+spoiled=515)",0.4906832298136646,0.7064846416382252,0.051194539249146756,,False,False,True,False,False,False,False,False,True,False,False,2,True
2d569ecf13128288424898f22f961c15,partylist,6.0,ตำบลขามเฒ่า,B,M0,,"candidate_sum_fail (sum=184, valid_votes=285)",0.4906832298136646,0.06645569620253164,0.03164556962025317,,False,False,False,False,False,False,False,False,False,False,False,0,False
2db13ee14626cd9d7ce63cd76e84f8f0,district,21.0,ตำบลเมืองปราสาท,A,M0,,,0.5402930402930403,0.023728813559322035,0.01694915254237288,ภูมิใจไทย,False,False,False,False,False,False,False,False,False,False,False,0,False
2db13ee14626cd9d7ce63cd76e84f8f0,partylist,11.0,ตำบลเมืองปราสาท,B,M0,,"candidate_sum_fail (sum=306, valid_votes=278)",0.5402930402930403,0.04406779661016949,0.013559322033898305,,False,False,False,False,False,False,False,False,False,False,False,0,False
2dd20f23bd3cb633752b00bb65429d5f,district,16.0,ในมี,C,M0,,"ballot_math_fail (total=390, valid+void+spoiled=310)",0.8446866485013624,0.02564102564102564,0.005128205128205128,,False,False,False,False,False,False,False,False,False,False,False,0,False
2dd20f23bd3cb633752b00bb65429d5f,partylist,16.0,ใน,B,M0,,"candidate_sum_fail (sum=272, valid_votes=276)",0.8446866485013624,0.1,0.00967741935483871,,False,False,False,False,False,False,False,False,False,False,False,0,False
2e6619c2fc25832b51377e378cb1f9b9,partylist,9.0,ตำบลสัมฤทธิ์,A,M0,,ocr_missed_candidates:[52],0.7294281729428173,0.07265774378585087,0.06309751434034416,ประชาชน,False,False,False,False,False,False,False,False,False,False,False,0,False
31651a97e1f282dab12996e7c8c909a4,district,6.0,ตำบลสัมฤทธิ์,A,M0,,,0.7192118226600985,0.05136986301369863,0.06506849315068493,ภูมิใจไทย,False,False,False,False,False,False,False,False,False,False,False,0,False
31b61bde306e7acada7d42a364e4b112,district,10.0,ตำบลกระเบื้องใหญ่,A,M0,,,0.7237237237237237,0.029045643153526972,0.06016597510373444,เพื่อไทย,False,False,False,False,False,False,False,False,False,False,False,0,False
31eb88296bdb937589034b91576bd5a7,district,7.0,ตำบลท่าหลวง,B,M0,,"candidate_sum_fail (sum=96, valid_votes=94)",0.620253164556962,0.02040816326530612,0.02040816326530612,,False,False,False,False,False,False,False,False,False,False,False,0,False
3276d94dafde679b6718020882e6e506,partylist,15.0,ตำบลสัมฤทธิ์,C,M0,,"ballot_math_fail (total=368, valid+void+spoiled=374) | candidate_sum_fail (sum=217, valid_votes=326)",0.75564681724846,0.07880434782608696,0.051630434782608696,,False,False,False,False,False,False,False,False,False,False,False,0,False
3290ade69d1e0bf346f1c44abe2fa03d,district,9.0,ตำบลมะค่า,A,M0,,,0.6004842615012107,0.03225806451612903,0.016129032258064516,เพื่อไทย,False,False,False,False,False,False,False,False,False,False,False,0,False
3290ade69d1e0bf346f1c44abe2fa03d,partylist,9.0,ตำบลมะค่า,B,M0,,"candidate_sum_fail (sum=217, valid_votes=223)",0.6004842615012107,0.04838709677419355,0.05241935483870968,,False,False,False,False,False,False,False,False,False,False,False,0,False
334aac39ba974a33d8d5ef758e1efd9f,partylist,7.0,ท่าช้าง,A,M0,,,0.8222222222222222,0.02364864864864865,0.030405405405405407,เพื่อไทย,False,False,False,False,False,False,False,False,False,False,False,0,False
334e8e5a120b090b2c26b983633f6c17,partylist,7.0,ตำบลท่าหลวง,A,M0,,,0.620253164556962,0.0,0.01020408163265306,ภูมิใจไทย,False,False,False,False,False,False,False,False,False,False,False,0,False
