file_id,ballot_type,cluster_label,silhouette_score
91aba0d6831ddadd82e08472e2a8d340,district,,
91aba0d6831ddadd82e08472e2a8d340,partylist,,
9285377ca5b4959b50fd01cdc48c7099,district,,
9285377ca5b4959b50fd01cdc48c7099,partylist,,
9407ed19f8984cc51cb861f720ddc39a,partylist,,
94c895d1f78db1e25a52740f280bac16,district,3,0.126931786056125
94c895d1f78db1e25a52740f280bac16,partylist,,
950bb198bbeb2e6ed05c37fb6e7adf16,partylist,,
958a2aca318af65e16c1abe64e35ea83,district,,
9624eb8e5fbf57a5b913caf20ea6fb3b,district,0,0.4957886499240684
98ff5254e0e0c5f6f210bfc288205039,partylist,,
996b58a9aa6af945896ac1b7cfe7273a,partylist,3,0.325772786872423
99849454a4889839e4478357abdf2cff,district,,
99aec0e88b758e84bd593c9101a58c60,partylist,3,0.5220542314570094
99d5ae50d65ec6790bc58a6dfbcbbad9,district,0,0.2533204247035899
99d5ae50d65ec6790bc58a6dfbcbbad9,partylist,,
9c2cbbcab052e3a5d890beb1007efa3f,partylist,,
9c996a59eb90e086359b9f47bda150d8,district,0,0.5239889245279921
9c996a59eb90e086359b9f47bda150d8,partylist,,
9cbf8f0a22fe1f4d373b0c63bb512264,district,,
9d91fa2934ad42f8f6803908e4703bbc,district,0,0.5283289565490646
9d91fa2934ad42f8f6803908e4703bbc,partylist,0,0.12036020588614899
9dc92f4f7eae6158beb0adabf3e19ff1,district,0,0.5478027980451232
9ec0b3f726dfccbc557c64f111530dc4,district,,
9ec0b3f726dfccbc557c64f111530dc4,partylist,3,0.3720616516481047
9edd26039ed34c2b71f30471cd9b1bf1,district,,
9edd26039ed34c2b71f30471cd9b1bf1,partylist,,
9eed08393cc541b886416a11478489bc,district,0,0.08993688540222379
9eed08393cc541b886416a11478489bc,partylist,3,0.5453223803353832
9f8d67739540f65e860509db6ff46458,partylist,,
9ffa0639ec556f0b111a90c19bfd1f71,district,,
9ffa0639ec556f0b111a90c19bfd1f71,partylist,,
a075fa2e5257cfc838d9a875a18dda41,district,,
a1bbe3de61ec7c3068ac2a0aa29f6416,district,,
a1bbe3de61ec7c3068ac2a0aa29f6416,partylist,3,0.44211702256048974
a21729ceecdbf522659ffc26be86d8e8,partylist,,
a2a037102a2b60fdc53a5ce444e7c4d9,district,0,0.38881843487905604
a2d4bf2cef212c9c7b5eb03d52e22489,district,0,0.19404498895593342
a2d4bf2cef212c9c7b5eb03d52e22489,partylist,,
a453632e987610d7d1b92156b6f78f87,district,,
a453632e987610d7d1b92156b6f78f87,district,,
a453632e987610d7d1b92156b6f78f87,partylist,,
a48654efcc4c764289066f808d1281a5,district,,
a4f1455dd4c86817ae7c1b07fc0bbd44,district,,
a4f1455dd4c86817ae7c1b07fc0bbd44,partylist,,
a5eb6c58ce65aff20ebc4924b991795a,district,,
a5eb6c58ce65aff20ebc4924b991795a,partylist,,
a63be73de042ca20062ad7facbb2be1a,district,,
a63be73de042ca20062ad7facbb2be1a,partylist,,
a7531627982bc92e4137f34f3e6aeb8c,district,0,0.5749872129992766
a7531627982bc92e4137f34f3e6aeb8c,partylist,,
a811560bafaa7cc080ed4fd3a26f5471,district,0,0.5432887415196168
a89aaa8510713cc2eb3c8efab9982fe4,district,,
a89aaa8510713cc2eb3c8efab9982fe4,partylist,3,0.5460408277026025
a96dc3cc31eec005db4487c9243f3ca6,district,0,0.5161209158356461
a96dc3cc31eec005db4487c9243f3ca6,partylist,0,0.20693534085311427
aa1a5d10d84d43284db0988da6c7c97d,district,0,0.46100387990562586
aa1a5d10d84d43284db0988da6c7c97d,partylist,3,0.36847931114909055
aa77c56135ae54c444e140e8d74d268d,district,0,0.4810472202848389
abf454b34995d0a06e9d2cf6df463170,partylist,0,0.10478698840278228
ac35dd4f67e8b0032b02744c27150195,district,0,0.4652401313912939
ac35dd4f67e8b0032b02744c27150195,partylist,3,0.49798749402303305
add95bfa684fb8a3b5b9c44c78574c69,district,,
ae1cd5f26ab5fa18c1afe17609fed2b5,district,,
ae599acc1e5c03e5e2d407edd0203058,partylist,3,0.2488730095574034
afe3aef912c0d5009d676539a2d0d2af,partylist,,
b0ccc210dd78184b74aa964a49e818cc,district,0,0.4677347414525454
b0ccc210dd78184b74aa964a49e818cc,partylist,3,0.14183655314501215
b138a19819473625cb30e2d15875822c,district,0,0.5455484901096458
b138a19819473625cb30e2d15875822c,partylist,,
b14123d12dd8a1f3c12574dafc0a9ef3,district,,
b14123d12dd8a1f3c12574dafc0a9ef3,partylist,,
b2aaa9a778bb4f99aa7ff09df0e4677f,district,,
b2aaa9a778bb4f99aa7ff09df0e4677f,partylist,,
b3884e0038ccc8f44689ddd607753428,district,,
b3884e0038ccc8f44689ddd607753428,partylist,,
b390a9b7121c20ebf38afcd3ff300abd,district,0,0.4023488029208167
b390a9b7121c20ebf38afcd3ff300abd,partylist,,
b4f0c41ffd4ef8c6ad6ab073306ca00c,district,,
b54428d67180cbc697edfc2f433958f0,district,,
b54428d67180cbc697edfc2f433958f0,partylist,,
b5ef992103e7af8685c5e2d77f1620ab,district,0,0.32777173053980885
b5f1c29103f79c3c38199f94e1b1172b,district,,
b5f1c29103f79c3c38199f94e1b1172b,partylist,,
b6a3db7c16730408f0251f6402630afa,district,,
b6a3db7c16730408f0251f6402630afa,partylist,,
b6bb9c472bb2b4bab17bb86601fd7366,partylist,,
b6edced297ee93512e4945cb84e963d6,district,,
b7470c7c65929282046d25b5216030cb,district,,
b7470c7c65929282046d25b5216030cb,partylist,,
b768374b9dddb7c1de729b0f91f5cd71,partylist,3,0.21355948900290694
b775f05a2a282d3910b9e16c39eee256,district,,
b775f05a2a282d3910b9e16c39eee256,partylist,,
b7f18735305a78ab00ac4d87f4bb629d,district,,
b7f18735305a78ab00ac4d87f4bb629d,partylist,,
b945c005f3486e1d5ffe981688e8afb5,district,,
b945c005f3486e1d5ffe981688e8afb5,partylist,,
b975eac6096750922f1085a9407f7c18,district,0,0.34598701815044136
b985abd2320e6f960cc988ac11382a77,district,3,0.12613384391898697
b9d414b3ef1410cc4d0579190366c1bb,partylist,3,0.20283784834137736
ba72a6a07dbe58bb7b88f5a5fe752be1,district,,
bab918b5fae2fd655c93ec55a87bccd6,district,0,0.43764089908866816
bab918b5fae2fd655c93ec55a87bccd6,partylist,,
bb5a41b5dbb30109fa72f941f62db271,partylist,,
bbe8a5ee7c5c8e19f66127e6d6a0182d,district,,
bbe8a5ee7c5c8e19f66127e6d6a0182d,partylist,,
bcf284443de4460fe329d7326925664a,district,,
bcf284443de4460fe329d7326925664a,partylist,,
bdd1d4a90548e91a88aaf051726dc525,partylist,,
be0674a1bf69f088a02af21e76221a1f,district,,
be0cd8ef6a18e3630b892f00f98a92f4,district,0,0.44971697827565676
be0cd8ef6a18e3630b892f00f98a92f4,partylist,3,0.3899060059053373
bf198523917948d7c29d2173fbcd7eb6,district,,
bf198523917948d7c29d2173fbcd7eb6,partylist,,
bf44eb09962c6101ecf7cafa2e3f93c0,district,,
bf44eb09962c6101ecf7cafa2e3f93c0,partylist,,
bf52a1b7485b0d289d08a03878261027,district,0,0.5309150610803343
c17e6b550431d281157217becb51150e,district,,
c288df822d2bacce9f6b2373cf2fc280,district,0,0.34767541024816934
c288df822d2bacce9f6b2373cf2fc280,partylist,3,0.5226082500719006
c49a046c54c8f4876970e214ebeb811f,district,,
c49a046c54c8f4876970e214ebeb811f,partylist,,
c4e1d5ccbccf988118f3dc99b53ed4e7,district,,
c4e1d5ccbccf988118f3dc99b53ed4e7,partylist,,
c4fa5c09fc5ab9be74e6edff1d352489,district,,
c4fa5c09fc5ab9be74e6edff1d352489,partylist,,
c50b8c7b1fb84ec3656aaee99b1a930b,district,0,0.4758849668003084
c50b8c7b1fb84ec3656aaee99b1a930b,partylist,,
c71f15881cb49ae9c60f3c87b7ce5526,district,,
c71f15881cb49ae9c60f3c87b7ce5526,partylist,,
c75605abdb14f8300adff8ac915dfb33,district,,
c75605abdb14f8300adff8ac915dfb33,partylist,0,0.044491549385001807
c7c3844e85bd06994303f059000285f3,district,0,0.21157381704788497
c7c3844e85bd06994303f059000285f3,partylist,,
c8068711b3d1d9db7837a0171630eee4,district,0,0.45952558794422554
c8068711b3d1d9db7837a0171630eee4,partylist,3,0.5190595013909584
c8e289ab7f72f33592fe6d54f746764f,district,,
c8e289ab7f72f33592fe6d54f746764f,partylist,,
c94fe2a37616d25a12bdb0e904a44fc6,partylist,,
c96b2af078821f1e1329652f9f756abe,partylist,,
