file_id,pdf_name,election_type,ballot_type,total_is_valid,candidate_sum_valid,both_valid,failure_modes,,
3276d94dafde679b6718020882e6e506,น.15 ต.สัมฤทธิ์ ส.ส.5_18 (บช).pdf,normal,partylist,FALSE,FALSE,FALSE,"ballot_math_fail (total=368, valid+void+spoiled=374) | candidate_sum_fail (sum=217, valid_votes=326)",,
3290ade69d1e0bf346f1c44abe2fa03d,มะค่า น.9.pdf,normal,district,TRUE,TRUE,TRUE,,,
3290ade69d1e0bf346f1c44abe2fa03d,มะค่า น.9.pdf,normal,partylist,TRUE,FALSE,FALSE,"candidate_sum_fail (sum=217, valid_votes=223)",,
334aac39ba974a33d8d5ef758e1efd9f,สส5ทับ18(บช).pdf,normal,district,TRUE,FALSE,FALSE,"ocr_extra_candidates:[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57] | candidate_sum_fail (sum=119, valid_votes=280)",,
334e8e5a120b090b2c26b983633f6c17,น.7 ต.ท่าหลวง ส.ส.5_18 (บช).pdf,normal,partylist,TRUE,TRUE,TRUE,,,
33eeb061ecc9062a3ba9664b6d33b3b7,บิง น.7.pdf,normal,district,TRUE,FALSE,FALSE,"candidate_sum_fail (sum=124, valid_votes=122)",,
33eeb061ecc9062a3ba9664b6d33b3b7,บิง น.7.pdf,normal,partylist,TRUE,TRUE,TRUE,,,
3595143bd10fbfe0f372ba1e193f2528,"ตำบลธารปราสาท หน่วยที่ 4 หมู่ที่6,8.pdf",normal,district,TRUE,FALSE,FALSE,"ocr_extra_candidates:[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 53, 54, 55, 56, 57] | candidate_sum_fail (sum=277, valid_votes=319)",,
365076b951c1b41187035d7f555bda3d,ช.7.pdf,advance_out_of_district,district,TRUE,FALSE,FALSE,"candidate_sum_fail (sum=1323, valid_votes=622)",,
365076b951c1b41187035d7f555bda3d,ช.7.pdf,advance_out_of_district,partylist,TRUE,FALSE,FALSE,"ocr_missed_candidates:[1, 2, 3, 4, 5, 6, 7, 8] | candidate_sum_fail (sum=654, valid_votes=680)",,
365b8c41c3fa6b9bda430ea828a5dc59,ทต.โนนสูง หน่วยที่ 6.pdf,normal,district,TRUE,TRUE,TRUE,,,
365b8c41c3fa6b9bda430ea828a5dc59,ทต.โนนสูง หน่วยที่ 6.pdf,normal,partylist,TRUE,TRUE,TRUE,,,
36ab0416cd2744085722e75759428973,ทต.ตลาดแค น.6.pdf,normal,district,FALSE,FALSE,FALSE,"ballot_math_fail (total=480, valid+void+spoiled=512) | candidate_sum_fail (sum=503, valid_votes=479)",,
36ab0416cd2744085722e75759428973,ทต.ตลาดแค น.6.pdf,normal,partylist,FALSE,FALSE,FALSE,"ballot_math_fail (total=480, valid+void+spoiled=540) | candidate_sum_fail (sum=431, valid_votes=427)",,
36ca5d2ece3f096f6d6f38968a13f0bb,น.9 ต.ท่าหลวง ส.ส.5_18.pdf,normal,district,TRUE,TRUE,TRUE,,,
36cf987c0b8dc650b710d1ad5bb3a733,ช.5.pdf,advance_out_of_district,district,FALSE,FALSE,FALSE,"ocr_missed_candidates:[9] | ballot_math_fail (total=640, valid+void+spoiled=670) | candidate_sum_fail (sum=557, valid_votes=566)",,
36cf987c0b8dc650b710d1ad5bb3a733,ช.5.pdf,advance_out_of_district,partylist,FALSE,FALSE,FALSE,"ocr_missed_candidates:[1, 2, 3, 4, 5, 6, 7, 8] | ballot_math_fail (total=640, valid+void+spoiled=670) | candidate_sum_fail (sum=589, valid_votes=640)",,
37e4e99d0c85867f7e842820070a715a,น.14 ต.สัมฤทธิ์ ส.ส.5_18 (บช).pdf,normal,partylist,TRUE,FALSE,FALSE,"no_candidates_parsed | ocr_missed_candidates:[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29] | candidate_sum_fail (sum=187, valid_votes=403)",,
3a7c9526ca743762296825c63f48c6bf,ด่านคล่า น.8 .pdf,normal,district,FALSE,FALSE,FALSE,"null_header_field:total_ballots | candidate_sum_fail (sum=158, valid_votes=162)",,
3a7c9526ca743762296825c63f48c6bf,ด่านคล่า น.8 .pdf,normal,district,TRUE,FALSE,FALSE,"ocr_extra_candidates:[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57] | candidate_sum_fail (sum=55, valid_votes=157)",,
3e993a44a161f4ad8cf06a5bbf08935d,ส.ส. 5ทับ18 (บช).pdf,normal,partylist,TRUE,FALSE,FALSE,"candidate_sum_fail (sum=1245, valid_votes=412)",,
